cluster_method,feature_radius,transition_radius,num_symbols,symbol_entropy_bits,symbol_entropy_normalized,prediction_accuracy,baseline_accuracy,transition_determinism,transition_entropy_bits,transition_entropy_normalized,novel_context_frac,num_contexts_train,target_entropy_bits,target_entropy_normalized,is_minimal_useful
kmeans,3,2,2,0.993783854774031,0.993783854774031,0.9964599609375,0.5452945106907895,0.9964535361842105,0.02617765301174686,0.02617765301174686,6.424753289491214e-06,29,0.9938533466720022,0.9938533466720022,False
kmeans,3,3,2,0.993783854774031,0.993783854774031,0.9964021381578947,0.5477359169407895,0.9965290270353618,0.02521254582546197,0.02521254582546197,1.2849506578982428e-05,86,0.9938533466720022,0.9938533466720022,False
kmeans,2,1,4,1.9457999711393064,0.9728999855696532,0.9964021381578947,0.3473928351151316,0.9963411030016447,0.03096848676910881,0.015484243384554406,0.0,34,1.9451715598566501,0.9725857799283251,False
kmeans,3,2,8,2.935523158176578,0.9785077193921926,0.996350740131579,0.17669356496710525,0.9960568076685855,0.029619353799444137,0.009873117933148046,0.00019916735197367252,443,2.934110145298921,0.9780367150996403,False
gmm,1,3,16,3.719861308061855,0.9299653270154637,0.9963057668585527,0.1726588199013158,0.996734619140625,0.012002488540597486,0.0030006221351493714,0.0001220703125,941,3.714154966826507,0.9285387417066268,False
gmm,2,3,16,3.780362090302912,0.945090522575728,0.9962158203125,0.1726588199013158,0.9965579384251645,0.012945902583983739,0.0032364756459959346,0.00015419407894734505,864,3.7762098435008813,0.9440524608752203,False
gmm,1,1,16,3.719861308061855,0.9299653270154637,0.9961194490131579,0.17245322779605263,0.9961804841694079,0.022126201376210696,0.005531550344052674,0.0,97,3.714154966826507,0.9285387417066268,False
kmeans,3,1,2,0.993783854774031,0.993783854774031,0.9961130242598685,0.5466501336348685,0.9964310495476973,0.02761447054463596,0.02761447054463596,0.0,8,0.9938533466720022,0.9938533466720022,False
gmm,2,1,4,1.8735784725735072,0.9367892362867536,0.9960616262335527,0.3457480982730263,0.996050382915296,0.03071458470561416,0.01535729235280708,0.0,20,1.8715284669202406,0.9357642334601203,False
gmm,3,1,16,3.790016295966215,0.9475040739915538,0.9960359272203947,0.1729736328125,0.9961403294613487,0.02331021850636865,0.005827554626592162,0.0,94,3.787781869239205,0.9469454673098012,False
kmeans,0,1,16,3.7591965840709944,0.9397991460177486,0.9959909539473685,0.17862741570723684,0.9960295024671053,0.025452851584374464,0.006363212896093616,0.0,147,3.756617991631976,0.939154497907994,False
gmm,0,1,16,3.7564616141222857,0.9391154035305714,0.9959781044407895,0.1729736328125,0.9959138569078947,0.02231417510211425,0.005578543775528562,0.0,100,3.743253103208597,0.9358132758021492,False
